Tara Oceans ID,BioSamples ID,(ENA accession #),Station,Depth,Filter,Input_Reads,Assembl,Contigs,Mean Size (bp),N50 (bp),Accession Number (run),Related biomolecular data,Sample Code
TARA_N000001746,SAMEA2622389,ERS492241,TARA_110,SRF,0.8 - 2000,353M,39 %,837214,536bp,711bp,"ERR1712134,ERR1711937",http://www.ebi.ac.uk/ena/data/view/ERS492241,110SUR1GGZZ14
TARA_N000001750,SAMEA2622391,ERS492243,TARA_110,SRF,0.8 - 5,332M,24 %,347228,579bp,761bp,"ERR1712078,ERR1711886",http://www.ebi.ac.uk/ena/data/view/ERS492243,110SUR1GGMM14
TARA_N000001762,SAMEA2731833,ERS492260,TARA_110,SRF,180 - 2000,423M,18 %,216115,460bp,560bp,"ERR1711954,ERR1712081",http://www.ebi.ac.uk/ena/data/view/ERS492260,110SUR1SSUU14
TARA_N000001758,SAMEA2731795,ERS492254,TARA_110,SRF,20 - 180,381M,37 %,758783,526bp,724bp,"ERR1719170,ERR1719445",http://www.ebi.ac.uk/ena/data/view/ERS492254,110SUR1QQSS14
TARA_N000001754,SAMEA2622393,ERS492245,TARA_110,SRF,5 - 20,391M,29 %,372649,490bp,609bp,"ERR1712115,ERR1712177",http://www.ebi.ac.uk/ena/data/view/ERS492245,110SUR1MMQQ14
TARA_N000001814,SAMEA2622487,ERS492366,TARA_111,DCM,0.8 - 2000,493M,20 %,727910,595bp,852bp,"ERR1719262,ERR1719355",http://www.ebi.ac.uk/ena/data/view/ERS492366,111DCM1GGZZ14
TARA_N000001816,SAMEA2622489,ERS492368,TARA_111,DCM,0.8 - 5,348M,42 %,440623,644bp,907bp,"ERR1712144,ERR1711977",http://www.ebi.ac.uk/ena/data/view/ERS492368,111DCM2GGMM14
TARA_N000001828,SAMEA2657019,ERS492400,TARA_111,DCM,180 - 2000,491M,44 %,1001283,630bp,946bp,"ERR1719290,ERR1719187",http://www.ebi.ac.uk/ena/data/view/ERS492400,111DCM1SSUU14
TARA_N000001824,SAMEA2656980,ERS492404,TARA_111,DCM,20 - 180,480M,33 %,899755,639bp,958bp,"ERR1719211,ERR1719412",http://www.ebi.ac.uk/ena/data/view/ERS492404,111DCM1QQSS14
TARA_N000001820,SAMEA2622490,ERS492369,TARA_111,DCM,5 - 20,355M,33 %,412067,521bp,671bp,"ERR1712147,ERR1711885",http://www.ebi.ac.uk/ena/data/view/ERS492369,111DCM2MMQQ14
