Tara Oceans ID,BioSamples ID,(ENA accession #),Station,Depth,Filter,Input_Reads,Assembl,Contigs,Mean Size (bp),N50 (bp),Accession Number (run),Related biomolecular data,Sample Code
TARA_N000002934,SAMEA2623302,ERS493677,TARA_137,DCM,0.8 - 2000,474M,33 %,1074969,552bp,800bp,"ERR1719158,ERR1719449",http://www.ebi.ac.uk/ena/data/view/ERS493677,137DCM1GGZZ14
TARA_N000002942,SAMEA2732863,ERS493686,TARA_137,DCM,180 - 2000,290M,39 %,252362,571bp,795bp,"ERR1712112,ERR1712114",http://www.ebi.ac.uk/ena/data/view/ERS493686,137DCM1SSUU14
TARA_N000002940,SAMEA2732613,ERS493690,TARA_137,DCM,20 - 180,508M,38 %,814636,634bp,978bp,"ERR1719367,ERR1719288",http://www.ebi.ac.uk/ena/data/view/ERS493690,137DCM1QQSS14
TARA_N000002938,SAMEA2732866,ERS493694,TARA_137,DCM,5 - 20,471M,25 %,925686,555bp,757bp,"ERR1719188,ERR1719226",http://www.ebi.ac.uk/ena/data/view/ERS493694,137DCM1MMQQ14
TARA_N000002923,SAMEA2623282,ERS493643,TARA_137,SRF,0.8 - 2000,437M,30 %,889816,651bp,935bp,ERR1719294,http://www.ebi.ac.uk/ena/data/view/ERS493643,137SUR1GGZZ14
TARA_N000002925,SAMEA2623284,ERS493645,TARA_137,SRF,0.8 - 5,461M,33 %,1170874,616bp,885bp,"ERR1719387,ERR1719252",http://www.ebi.ac.uk/ena/data/view/ERS493645,137SUR1GGMM14
TARA_N000002931,SAMEA2732604,ERS493652,TARA_137,SRF,180 - 2000,339M,26 %,99610,499bp,692bp,"ERR1712163,ERR1711873",http://www.ebi.ac.uk/ena/data/view/ERS493652,137SUR1SSUU14
TARA_N000002929,SAMEA2732378,ERS493656,TARA_137,SRF,20 - 180,441M,46 %,572573,706bp,1127bp,ERR1719270,http://www.ebi.ac.uk/ena/data/view/ERS493656,137SUR1QQSS14
TARA_N000002927,SAMEA2732607,ERS493660,TARA_137,SRF,5 - 20,363M,44 %,688571,780bp,1304bp,ERR1719394,http://www.ebi.ac.uk/ena/data/view/ERS493660,137SUR1MMQQ14
TARA_N000003011,SAMEA2623379,ERS493797,TARA_138,DCM,0.8 - 5,527M,19 %,920715,579bp,802bp,"ERR1719359,ERR1719377",http://www.ebi.ac.uk/ena/data/view/ERS493797,138DCM1GGMM14
TARA_N000003017,SAMEA2732508,ERS493810,TARA_138,DCM,180 - 2000,337M,16 %,149269,512bp,717bp,"ERR1712239,ERR1712082",http://www.ebi.ac.uk/ena/data/view/ERS493810,138DCM1SSUU14
TARA_N000003013,SAMEA2732716,ERS493804,TARA_138,DCM,5 - 20,440M,17 %,662685,495bp,615bp,"ERR1719190,ERR1719436",http://www.ebi.ac.uk/ena/data/view/ERS493804,138DCM1MMQQ14
TARA_N000002997,SAMEA2623397,ERS493829,TARA_138,MES,0.8 - 3,239M,54 %,427754,750bp,1152bp,"ERR1712169,ERR1712000",http://www.ebi.ac.uk/ena/data/view/ERS493829,138MES1GGKK14
TARA_N000003007,SAMEA2732654,ERS493768,TARA_138,SRF,180 - 2000,414M,45 %,535187,553bp,819bp,ERR1719167,http://www.ebi.ac.uk/ena/data/view/ERS493768,138SUR1SSUU14
TARA_N000003005,SAMEA2732658,ERS493772,TARA_138,SRF,20 - 180,535M,34 %,989859,538bp,755bp,"ERR1719336,ERR1719166",http://www.ebi.ac.uk/ena/data/view/ERS493772,138SUR1QQSS14
TARA_N000003003,SAMEA2732453,ERS493776,TARA_138,SRF,5 - 20,148M,8 %,307232,393bp,435bp,"ERR1711877,ERR1712014",http://www.ebi.ac.uk/ena/data/view/ERS493776,138SUR1MMQQ14
